R,G,B,y
119,170,171,-1
142,190,192,-1
148,202,152,-1
91,123,246,-1
86,142,143,-1
129,177,179,-1
164,195,198,-1
162,109,105,1
162,200,201,-1
210,213,196,-1
22,62,62,-1
87,143,144,-1
250,250,248,-1
96,125,0,-1
0,190,0,-1
119,169,170,-1
0,0,79,-1
163,201,202,-1
131,175,178,-1
127,127,127,-1
154,101,97,1
142,186,187,-1
127,144,172,-1
126,170,173,-1
200,141,107,1
121,171,172,-1
224,169,128,1
26,72,70,-1
114,162,164,-1
160,198,199,-1
55,113,114,-1
107,153,150,-1
253,188,150,1
90,139,136,-1
113,164,167,-1
0,185,0,-1
114,163,167,-1
240,135,139,-1
29,39,40,-1
113,163,164,-1
0,0,2,-1
229,180,165,1
164,198,200,-1
253,250,245,-1
129,178,175,-1
162,198,198,-1
89,143,145,-1
126,174,176,-1
115,166,167,-1
228,174,138,1
198,168,204,-1
254,253,251,-1
220,146,97,1
115,166,167,-1
27,69,68,-1
247,186,155,1
114,160,158,-1
115,166,167,-1
0,4,3,-1
0,2,0,-1
206,135,103,1
163,201,202,-1
132,176,179,-1
2,0,3,-1
61,105,106,-1
229,161,140,1
157,195,196,-1
42,97,100,-1
45,101,102,-1
231,162,129,1
13,47,46,-1
213,138,98,1
220,217,236,-1
24,64,63,-1
28,40,38,-1
170,204,205,-1
2,16,17,-1
198,140,103,1
138,92,59,1
187,129,117,1
216,135,88,1
41,172,128,-1
93,111,133,-1
106,157,160,-1
90,144,146,-1
126,174,176,-1
219,222,237,-1
128,176,178,-1
114,173,169,-1
2,184,3,-1
120,170,171,-1
134,178,179,-1
117,161,160,-1
127,172,175,-1
16,52,50,-1
126,176,177,-1
164,199,201,-1
233,180,166,1
219,151,112,1
162,197,199,-1
153,195,194,-1
235,187,149,1
9,41,40,-1
1,0,0,-1
37,89,87,-1
183,114,85,1
156,95,100,-1
146,142,141,-1
160,200,202,-1
122,170,174,-1
165,41,29,-1
160,198,199,-1
134,179,182,-1
193,199,213,-1
141,12,30,-1
30,81,84,-1
156,191,187,-1
108,150,146,-1
234,188,173,1
22,56,55,-1
76,120,119,-1
216,164,125,1
67,99,98,-1
193,139,137,1
16,52,52,-1
84,140,141,-1
165,104,49,1
189,116,81,1
0,25,29,-1
82,138,139,-1
13,55,54,-1
118,157,152,-1
31,80,77,-1
131,179,181,-1
1,10,5,-1
95,143,143,-1
144,184,184,-1
0,0,2,-1
26,73,57,-1
90,144,146,-1
127,172,175,-1
5,31,30,-1
148,192,193,-1
162,200,201,-1
148,100,51,1
127,172,175,-1
21,61,61,-1
133,126,120,-1
23,68,63,-1
27,29,28,-1
62,120,121,-1
18,58,58,-1
109,130,159,-1
28,74,72,-1
227,180,164,1
168,204,204,-1
162,197,199,-1
228,185,169,1
6,36,34,-1
129,162,155,-1
253,189,151,1
218,161,144,1
136,180,183,-1
54,87,94,-1
38,106,143,-1
113,164,167,-1
131,175,178,-1
2,17,20,-1
23,72,69,-1
138,178,177,-1
8,34,33,-1
51,61,110,-1
131,175,178,-1
218,164,126,1
114,164,165,-1
105,154,151,-1
125,173,175,-1
21,60,55,-1
149,189,191,-1
127,175,177,-1
158,106,56,1
115,178,183,-1
119,168,172,-1
35,84,81,-1
29,78,75,-1
52,108,109,-1
224,147,103,1
24,64,63,-1
121,171,172,-1
20,56,52,-1
138,0,33,-1
199,134,96,1
125,169,172,-1
136,181,184,-1
114,164,165,-1
149,98,77,1
148,188,190,-1
213,79,52,-1
132,180,182,-1
134,178,179,-1
112,160,164,-1
61,119,120,-1
255,255,0,-1
132,177,180,-1
227,153,108,1
7,33,32,-1
99,150,151,-1
162,197,199,-1
255,208,198,1
22,28,86,-1
228,162,130,1
0,2,3,-1
117,18,23,-1
144,190,188,-1
223,174,141,1
49,111,148,-1
122,158,154,-1
215,158,138,1
149,173,173,-1
131,175,178,-1
40,52,52,-1
24,172,150,-1
113,161,163,-1
22,56,55,-1
127,162,158,-1
129,177,179,-1
95,125,125,-1
154,114,202,-1
158,196,197,-1
113,163,164,-1
89,158,91,-1
130,92,83,1
95,147,145,-1
140,181,183,-1
55,64,63,-1
163,198,200,-1
253,217,205,1
128,88,80,1
255,101,45,-1
22,56,55,-1
229,183,167,1
221,174,132,1
128,170,186,-1
126,83,76,1
134,94,84,1
89,77,123,-1
159,197,198,-1
226,168,146,1
2,21,19,-1
221,148,116,1
219,153,121,1
126,158,155,-1
135,171,167,-1
124,170,170,-1
248,245,238,-1
56,107,108,-1
113,117,118,-1
34,83,79,-1
35,62,31,-1
18,30,30,-1
35,77,75,-1
163,197,198,-1
181,126,123,1
197,137,111,1
123,173,174,-1
123,169,169,-1
198,130,59,1
15,55,54,-1
225,152,97,1
110,159,156,-1
18,54,52,-1
117,163,161,-1
121,161,160,-1
228,158,107,1
30,76,74,-1
98,150,148,-1
83,107,107,-1
131,170,165,-1
161,195,197,-1
218,144,95,1
22,56,55,-1
125,173,175,-1
250,191,149,1
106,156,153,-1
122,172,173,-1
85,139,139,-1
135,83,36,1
31,60,32,-1
181,255,252,-1
115,163,165,-1
95,134,131,-1
222,222,222,-1
86,142,143,-1
195,141,199,-1
170,204,205,-1
11,57,55,-1
110,161,162,-1
129,177,179,-1
116,161,158,-1
79,124,121,-1
131,175,178,-1
210,194,135,-1
131,176,179,-1
127,159,156,-1
228,174,127,1
19,55,55,-1
191,126,62,1
250,250,248,-1
138,183,188,-1
225,221,210,-1
159,105,45,1
102,154,214,-1
168,109,53,1
127,175,177,-1
140,92,46,1
128,87,81,1
196,123,88,1
170,204,205,-1
213,157,124,1
35,81,79,-1
16,55,54,-1
212,148,113,1
161,196,200,-1
129,129,129,-1
128,167,166,-1
185,106,73,1
141,185,186,-1
113,163,164,-1
223,172,155,1
227,173,137,1
129,165,161,-1
134,178,181,-1
1,15,18,-1
16,56,55,-1
238,192,177,1
81,65,112,-1
83,106,137,-1
25,66,62,-1
215,142,91,1
130,175,178,-1
18,33,92,-1
147,191,190,-1
7,33,34,-1
205,148,105,1
254,86,111,-1
58,104,102,-1
116,167,168,-1
221,160,129,1
14,50,48,-1
142,186,185,-1
233,170,152,1
169,108,54,1
197,138,96,1
88,120,117,-1
92,138,136,-1
14,50,48,-1
129,174,177,-1
38,94,95,-1
95,144,141,-1
247,254,255,-1
94,143,140,-1
88,130,128,-1
129,177,179,-1
126,162,158,-1
223,153,117,1
200,122,84,1
158,198,198,-1
172,205,240,-1
91,132,128,-1
129,86,80,1
195,121,86,1
119,168,172,-1
52,101,98,-1
153,193,193,-1
2,14,14,-1
226,159,133,1
105,121,234,-1
233,237,246,-1
0,128,255,-1
4,13,10,-1
1,1,3,-1
214,147,104,1
126,174,176,-1
91,131,130,-1
221,165,140,1
104,105,25,-1
21,60,55,-1
130,175,178,-1
186,124,63,1
17,55,56,-1
2,123,18,-1
21,55,54,-1
14,50,48,-1
252,188,150,1
135,179,180,-1
15,59,60,-1
124,163,160,-1
78,133,136,-1
3,16,35,-1
99,150,151,-1
5,17,99,-1
25,70,75,-1
35,84,81,-1
31,80,77,-1
143,167,69,-1
90,136,133,-1
64,113,110,-1
63,79,69,-1
253,215,204,1
133,177,180,-1
100,139,136,-1
109,155,153,-1
221,147,98,1
132,180,180,-1
117,167,168,-1
255,101,47,-1
168,117,96,1
209,155,117,1
105,86,92,-1
134,178,181,-1
122,82,72,1
140,0,35,-1
217,167,132,1
168,115,109,1
162,135,105,1
143,183,185,-1
84,133,137,-1
8,4,5,-1
81,130,127,-1
138,72,56,1
157,197,197,-1
23,69,67,-1
141,182,184,-1
213,160,120,1
42,54,54,-1
129,165,163,-1
192,129,98,1
17,53,51,-1
141,133,122,-1
130,176,176,-1
54,96,92,-1
237,173,161,1
254,251,246,-1
137,196,140,-1
232,119,105,-1
135,179,182,-1
33,35,34,-1
158,196,197,-1
222,164,124,1
233,184,170,1
111,165,167,-1
0,14,34,-1
88,29,109,-1
241,177,133,1
89,140,141,-1
250,185,145,1
201,208,226,-1
165,160,156,-1
160,195,199,-1
135,179,180,-1
122,130,55,-1
157,195,196,-1
226,157,126,1
23,59,55,-1
128,176,178,-1
216,154,107,1
115,164,168,-1
3,14,16,-1
6,35,33,-1
112,162,163,-1
0,8,11,-1
116,164,166,-1
153,191,192,-1
112,161,158,-1
215,157,120,1
121,171,172,-1
0,0,0,-1
10,10,12,-1
134,178,181,-1
167,201,203,-1
88,144,145,-1
28,82,82,-1
163,201,202,-1
222,155,103,1
123,84,77,1
119,168,173,-1
166,200,202,-1
134,180,180,-1
23,62,57,-1
205,144,113,1
229,164,144,1
31,85,87,-1
37,81,82,-1
139,183,186,-1
14,64,55,-1
138,182,181,-1
163,198,200,-1
127,162,166,-1
253,189,151,1
216,162,124,1
216,167,150,1
82,138,139,-1
100,139,138,-1
60,116,117,-1
222,154,117,1
192,128,64,1
134,180,180,-1
205,203,224,-1
121,160,157,-1
143,96,50,1
19,53,52,-1
202,207,104,-1
185,100,165,-1
131,176,179,-1
237,184,168,1
0,1,2,-1
162,200,201,-1
152,102,49,1
0,3,4,-1
1,7,7,-1
116,161,158,-1
134,180,180,-1
221,159,122,1
3,2,0,-1
6,12,10,-1
147,186,185,-1
28,51,7,-1
132,180,182,-1
115,165,166,-1
156,19,1,-1
128,128,128,-1
112,162,163,-1
213,218,116,-1
254,196,158,1
99,164,232,-1
112,166,168,-1
238,172,146,1
0,0,10,-1
114,162,164,-1
141,181,181,-1
2,17,20,-1
231,182,167,1
141,94,52,1
135,179,182,-1
218,147,95,1
16,58,57,-1
28,76,76,-1
164,195,198,-1
244,186,87,-1
85,131,128,-1
24,56,55,-1
112,160,162,-1
140,184,185,-1
90,140,128,-1
212,137,97,1
129,175,175,-1
127,175,195,-1
120,171,172,-1
119,169,168,-1
0,3,4,-1
132,176,179,-1
184,0,0,-1
173,190,236,-1
143,155,241,-1
191,137,137,1
115,163,163,-1
8,34,35,-1
112,161,165,-1
123,144,171,-1
96,146,145,-1
104,134,145,-1
0,10,92,-1
117,173,172,-1
121,171,172,-1
131,179,179,-1
164,195,197,-1
146,97,56,1
125,175,176,-1
139,94,55,1
0,0,0,-1
54,73,77,-1
7,33,32,-1
190,9,18,-1
130,178,180,-1
230,228,241,-1
0,3,2,-1
53,53,53,-1
131,175,178,-1
4,10,10,-1
172,119,113,1
15,54,53,-1
92,135,126,-1
133,178,181,-1
145,186,188,-1
163,197,199,-1
6,36,36,-1
121,121,119,-1
131,175,178,-1
31,87,88,-1
207,139,102,1
167,201,202,-1
128,176,178,-1
132,176,179,-1
56,104,104,-1
112,162,163,-1
133,174,178,-1
162,197,199,-1
37,81,82,-1
201,206,104,-1
37,173,125,-1
232,172,148,1
113,161,163,-1
108,129,158,-1
167,202,204,-1
32,81,78,-1
126,161,157,-1
219,157,118,1
111,156,153,-1
161,196,200,-1
22,56,55,-1
70,125,122,-1
21,39,41,-1
211,147,111,1
123,128,46,-1
240,24,61,-1
162,200,201,-1
138,184,184,-1
185,116,51,1
5,23,25,-1
55,105,102,-1
229,160,129,1
136,89,37,1
133,177,178,-1
128,160,159,-1
219,167,127,1
135,179,180,-1
174,70,77,-1
4,34,34,-1
206,153,121,1
39,93,95,-1
120,170,171,-1
121,162,158,-1
149,100,59,1
70,197,156,-1
249,187,146,1
123,171,185,-1
255,194,157,1
229,181,145,1
112,160,164,-1
114,163,168,-1
11,13,12,-1
114,164,165,-1
32,72,71,-1
16,52,52,-1
26,54,55,-1
223,195,98,-1
92,136,135,-1
207,212,109,-1
218,150,127,1
112,163,166,-1
90,139,136,-1
131,175,178,-1
255,104,39,-1
112,160,162,-1
94,140,138,-1
19,58,53,-1
118,160,156,-1
237,190,174,1
115,166,167,-1
220,139,94,1
4,15,17,-1
223,187,151,1
135,179,182,-1
57,103,101,-1
25,79,81,-1
129,174,177,-1
130,175,178,-1
226,162,127,1
124,172,174,-1
15,20,23,-1
